,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
12/30/2022,259,99,1.32,0.95,1114,972,50,129,13,19,946,1585,6765,37.35,"3,839.50"
12/29/2022,757,56,0.97,0.73,1059,1007,51,154,14,18,851,1598,6772,39.26,"3,849.28"
12/28/2022,135,284,0.56,0.50,921,1144,52,157,13,19,757,1915,6772,31.39,"3,783.22"
12/27/2022,131,517,0.65,0.57,1034,1081,64,148,13,19,850,1758,6778,37.82,"3,829.25"
12/23/2022,139,118,0.75,0.75,1086,1028,55,148,10,19,922,1684,6792,38.05,"3,844.82"
12/22/2022,111,334,0.65,0.72,1052,1044,58,139,12,18,903,1741,6803,35.45,"3,822.39"
12/21/2022,268,135,0.53,0.83,1154,1011,72,104,13,18,1122,1593,6817,40.79,"3,878.44"
12/20/2022,197,188,0.44,0.74,1014,1073,57,100,12,17,964,1808,6818,34.76,"3,821.62"
12/19/2022,63,260,0.51,0.63,969,1127,51,123,13,22,923,1899,6832,34.52,"3,817.66"
12/16/2022,215,406,0.75,0.56,1101,1022,67,109,13,20,1116,1688,6842,38.79,"3,852.36"
12/15/2022,78,559,0.79,0.64,1134,993,58,114,9,19,1177,1597,6853,46.43,"3,895.75"
12/14/2022,142,182,1.35,0.81,1352,936,50,119,9,21,1522,1341,6855,56.14,"3,995.32"
12/13/2022,305,182,1.23,1.16,1395,931,66,109,10,19,1638,1279,6864,60.39,"4,019.65"
12/12/2022,402,187,0.78,1.13,1301,1006,51,134,13,17,1535,1359,6872,58.93,"3,990.56"
12/9/2022,137,234,0.40,0.84,1183,1040,68,112,15,13,1530,1453,6884,56.17,"3,934.38"
12/8/2022,241,125,0.52,0.88,1276,993,176,66,35,13,1718,1352,6891,59.88,"3,963.51"
12/7/2022,114,247,0.49,0.89,1190,1013,116,100,20,17,1737,1413,6890,58.41,"3,933.92"
12/6/2022,77,445,1.11,0.98,1252,994,119,109,24,21,1843,1327,6889,60.97,"3,941.26"
12/5/2022,107,656,1.52,1.05,1395,909,160,87,22,18,2046,1135,6889,66.01,"3,998.84"
12/2/2022,266,90,1.54,1.34,1643,803,259,89,32,15,2469,925,6889,73.68,"4,071.70"
12/1/2022,200,106,1.45,1.14,1593,846,228,102,27,21,2536,975,6909,73.35,"4,076.57"
11/30/2022,911,105,1.51,0.96,1564,839,139,142,22,26,2514,975,6912,74.08,"4,080.11"
11/29/2022,173,132,0.81,0.73,1278,967,110,154,19,32,2177,1160,6917,69.57,"3,957.63"
11/28/2022,112,648,0.62,0.70,1240,980,98,159,17,34,2189,1187,6917,68.36,"3,963.94"
11/25/2022,75,22,1.05,1.13,1467,945,169,135,18,29,2556,1008,6924,73.00,"4,026.12"
11/23/2022,211,77,0.82,1.97,1413,966,172,133,14,29,2510,1031,6924,72.64,"4,027.26"
11/22/2022,261,154,0.54,1.43,1387,998,174,149,17,30,2434,1124,6927,71.85,"4,003.58"
11/21/2022,101,317,0.68,1.36,1237,1031,223,119,24,28,2260,1200,6931,70.03,"3,949.94"
11/18/2022,144,184,0.79,1.46,1288,1007,243,114,27,27,2355,1133,6931,71.27,"3,965.34"
11/17/2022,111,276,1.18,1.51,1280,1051,326,108,35,23,2337,1094,6933,70.70,"3,946.56"
11/16/2022,79,347,3.13,1.52,1375,1028,316,102,31,22,2572,1002,6935,72.75,"3,958.79"
11/15/2022,446,176,2.26,1.28,1628,965,317,97,44,25,2858,839,6937,74.81,"3,991.73"
11/14/2022,162,215,1.95,1.22,1421,1056,297,96,30,25,2714,924,6939,72.76,"3,957.25"
11/11/2022,562,139,1.99,1.26,1565,994,524,70,63,22,2933,838,6940,74.43,"3,992.93"
11/10/2022,1865,117,1.73,1.23,1302,1101,299,97,26,30,2727,956,6940,74.76,"3,956.37"
11/9/2022,88,737,0.65,0.69,792,1399,190,130,20,35,1738,1363,6938,56.91,"3,748.57"
11/8/2022,241,285,0.60,0.90,964,1292,252,97,30,33,2063,1132,6936,62.90,"3,828.11"
11/7/2022,222,217,0.63,1.24,949,1293,231,94,24,26,2031,1167,6936,61.72,"3,806.80"
11/4/2022,428,284,0.65,1.19,897,1331,183,111,14,29,1964,1237,6940,58.82,"3,770.55"
11/3/2022,215,319,0.71,1.27,789,1401,100,134,10,33,1760,1378,6940,52.73,"3,719.89"
11/2/2022,90,889,0.74,1.29,770,1351,73,107,11,26,1789,1306,6941,54.19,"3,759.69"
11/1/2022,212,133,1.73,1.59,991,1154,103,75,12,20,2314,1080,6956,64.00,"3,856.10"
10/31/2022,205,148,2.98,1.64,963,1178,186,60,18,22,2253,1161,6956,62.89,"3,871.98"
10/28/2022,413,115,2.47,1.98,942,1167,289,60,25,20,2314,1192,6956,61.66,"3,901.06"
10/27/2022,174,199,2.45,1.58,767,1264,187,62,19,20,1909,1565,6956,55.50,"3,807.30"
10/26/2022,249,129,2.34,1.88,795,1253,138,75,16,23,1876,1551,6961,55.25,"3,830.60"
10/25/2022,890,58,1.50,1.78,771,1250,211,72,28,20,1803,1582,6961,53.38,"3,859.11"
10/24/2022,127,249,0.89,1.25,611,1446,184,86,30,17,1193,1872,6960,43.04,"3,797.34"
10/21/2022,422,126,1.61,1.19,626,1468,149,87,19,21,1154,1906,6962,39.71,"3,752.75"
10/20/2022,129,214,1.03,0.79,550,1578,67,116,11,20,883,2130,6968,30.38,"3,665.78"
10/19/2022,111,474,1.54,0.80,549,1554,51,134,10,23,924,2063,6970,33.74,"3,695.16"
10/18/2022,248,96,2.20,0.93,614,1429,38,120,11,21,1155,1861,6970,37.69,"3,719.98"
10/17/2022,685,81,1.67,1.32,601,1484,37,161,10,22,928,2026,6975,31.10,"3,677.95"
10/14/2022,60,334,0.83,1.25,508,1703,31,217,7,24,637,2417,6974,21.85,"3,583.07"
10/13/2022,573,102,0.61,1.36,650,1537,33,219,10,29,851,2189,6974,28.51,"3,669.91"
10/12/2022,131,160,0.33,0.93,582,1705,33,274,9,26,656,2615,6975,21.23,"3,577.03"
10/11/2022,156,284,0.34,1.20,575,1680,24,257,9,28,652,2608,6974,21.18,"3,588.84"
10/10/2022,68,304,1.08,1.31,601,1676,25,368,10,28,634,2598,6978,21.16,"3,612.39"
10/7/2022,46,742,1.65,1.30,664,1576,24,277,9,21,712,2534,6976,21.62,"3,639.66"
10/6/2022,153,197,3.03,1.30,803,1365,34,140,12,20,1094,2256,6980,27.18,"3,744.52"
10/5/2022,143,133,1.87,1.07,818,1293,44,115,16,20,1095,2293,6983,27.10,"3,783.28"
10/4/2022,1155,68,2.59,0.96,824,1231,56,70,12,20,1146,2254,6983,27.06,"3,790.93"
10/3/2022,549,100,1.61,0.57,647,1496,45,133,12,18,589,2890,6988,18.61,"3,678.43"
9/30/2022,153,213,0.96,0.43,554,1714,36,185,10,19,382,3218,6989,12.93,"3,585.62"
9/29/2022,50,585,0.63,0.35,566,1690,33,197,11,18,365,3215,6989,12.80,"3,640.47"
9/28/2022,727,51,0.61,0.41,662,1464,36,133,13,14,504,2976,6987,15.69,"3,719.04"
9/27/2022,234,112,0.22,0.27,528,1765,24,282,7,18,289,3352,6986,12.07,"3,647.29"
9/26/2022,86,341,0.13,0.19,489,1821,21,348,9,18,269,3373,6984,12.11,"3,655.04"
9/23/2022,61,749,0.13,0.25,529,1658,20,426,7,22,290,3245,6983,12.15,"3,693.23"
9/22/2022,63,669,0.14,0.39,656,1438,20,224,8,22,384,2896,6985,16.21,"3,757.99"
9/21/2022,45,363,0.21,0.52,791,1264,26,146,9,19,497,2626,6985,18.57,"3,789.93"
9/20/2022,61,354,0.34,0.67,929,1181,40,117,9,21,603,2429,6984,21.54,"3,855.93"
9/19/2022,68,165,0.25,0.70,1087,1091,39,132,10,23,736,2214,6989,26.07,"3,899.89"
9/16/2022,111,881,0.36,0.73,1065,1083,24,185,8,27,776,2314,6989,23.90,"3,873.33"
9/15/2022,141,230,0.77,0.86,1201,958,44,144,9,23,984,2087,6990,29.81,"3,901.35"
9/14/2022,234,166,0.93,0.90,1249,903,45,179,7,20,1057,1981,6988,33.44,"3,946.01"
9/13/2022,84,1060,1.09,0.77,1221,944,32,171,7,20,1052,1973,6991,32.94,"3,932.69"
9/12/2022,306,93,2.22,1.15,1463,785,41,100,8,16,1561,1455,6992,52.58,"4,110.41"
9/9/2022,478,65,1.86,0.71,1379,880,44,97,6,17,1434,1611,6992,46.29,"4,067.36"
9/8/2022,276,99,0.98,0.65,1244,1023,40,140,6,22,1233,1913,6991,38.81,"4,006.18"
9/7/2022,398,104,0.86,0.67,1191,1081,59,119,6,22,1133,2015,6992,36.27,"3,979.87"
9/6/2022,190,383,0.46,0.62,1072,1273,43,223,4,30,976,2330,6994,29.57,"3,908.19"
9/2/2022,111,130,0.49,0.58,1123,1193,51,180,8,25,1058,2218,6994,31.68,"3,924.26"
9/1/2022,117,397,0.26,0.48,1163,1164,68,167,10,22,1201,2127,6999,33.70,"3,966.85"
8/31/2022,174,135,0.43,0.56,1256,1076,81,142,18,22,1370,1926,6999,37.31,"3,955.00"
8/30/2022,66,385,0.54,0.50,1280,1096,107,113,20,20,1562,1840,6997,41.42,"3,986.16"
8/29/2022,123,160,0.78,0.58,1412,992,140,93,30,15,1754,1650,7000,49.57,"4,030.61"
8/26/2022,44,933,0.65,0.61,1503,923,140,80,30,10,1893,1524,7001,54.11,"4,057.66"
8/25/2022,329,104,0.82,0.96,1819,758,227,60,38,9,2370,1131,7003,68.31,"4,199.12"
8/24/2022,323,65,0.73,0.92,1687,830,233,65,46,7,2193,1276,7002,63.78,"4,140.77"
8/23/2022,247,100,0.46,1.06,1602,879,259,53,45,5,2103,1383,7004,61.97,"4,128.73"
8/22/2022,116,439,0.42,0.89,1565,920,221,63,45,5,2129,1453,7004,63.91,"4,137.99"
8/19/2022,56,595,0.58,1.16,1768,803,286,49,47,4,2478,1188,7003,71.89,"4,228.48"
8/18/2022,234,140,1.14,1.60,2037,669,295,56,48,10,2792,904,7006,77.56,"4,283.74"
8/17/2022,90,329,1.15,1.62,1992,680,302,55,51,8,2792,876,7006,76.59,"4,274.04"
8/16/2022,253,268,2.16,2.07,2188,612,455,33,81,7,3023,698,7007,80.56,"4,305.20"
8/15/2022,229,160,1.68,2.33,2167,586,622,30,126,6,3027,615,7010,80.88,"4,297.14"
8/12/2022,347,112,2.03,2.25,2172,565,625,34,121,9,2990,618,7011,80.76,"4,280.15"
8/11/2022,357,236,2.06,2.13,1986,607,646,30,112,6,2785,710,7011,79.07,"4,207.27"
8/10/2022,709,102,2.12,2.26,1907,641,531,41,103,7,2766,708,7010,77.38,"4,210.24"
8/9/2022,114,437,2.00,2.26,1643,761,378,45,64,5,2512,839,7011,72.66,"4,122.47"
8/8/2022,509,116,3.26,2.24,1837,711,454,38,69,6,2754,653,7008,74.09,"4,140.06"
8/5/2022,402,126,2.53,2.04,1718,845,298,39,40,8,2701,704,7005,70.89,"4,145.19"
8/4/2022,429,237,2.21,1.53,1697,871,254,39,34,8,2752,750,7007,69.80,"4,151.94"
8/3/2022,638,128,2.44,1.51,1662,864,366,30,47,8,2792,743,7005,71.96,"4,155.17"
8/2/2022,423,130,2.63,1.52,1458,921,241,28,32,9,2610,831,7002,69.79,"4,091.19"
8/1/2022,202,208,1.53,1.74,1388,994,245,34,39,9,2670,927,7007,71.14,"4,118.63"
7/29/2022,239,170,1.64,1.81,1417,978,265,26,36,8,2688,1003,7007,70.21,"4,130.29"
7/28/2022,439,158,1.09,1.95,1317,999,215,34,33,9,2538,1103,7008,66.91,"4,072.43"
7/27/2022,633,70,0.93,1.64,1183,1069,140,42,32,10,2272,1310,7006,61.79,"4,023.61"
7/26/2022,121,460,0.89,1.36,954,1244,86,57,19,11,1781,1645,7009,51.15,"3,921.05"
7/25/2022,212,143,2.00,1.58,1055,1209,84,59,22,11,1986,1494,7013,55.23,"3,966.84"
7/22/2022,59,510,1.99,1.27,1068,1306,110,56,24,12,1955,1560,7013,51.79,"3,961.63"
7/21/2022,188,118,4.38,1.68,1263,1219,228,35,40,11,2279,1395,7019,54.22,"3,998.95"
