,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
5/5/2026,368,199,1.48,1.16,1569,919,350,50,109,21,2271,976,6428,56.91,"7,259.22"
5/4/2026,262,308,1.19,1.01,1492,958,311,50,94,20,2133,1046,6428,55.22,"7,200.75"
5/1/2026,342,122,1.30,1.10,1526,941,323,52,90,20,2283,963,6429,59.19,"7,230.12"
4/30/2026,559,116,1.16,1.21,1466,999,323,47,90,22,2183,1001,6425,60.03,"7,209.01"
4/29/2026,172,409,0.60,1.09,1332,1117,281,54,70,23,1989,1174,6419,54.88,"7,135.95"
4/28/2026,156,295,0.86,1.37,1442,1044,423,46,101,21,2199,1039,6418,60.56,"7,138.80"
4/27/2026,206,158,0.84,1.63,1497,1008,405,49,102,24,2273,975,6417,60.02,"7,173.91"
4/24/2026,224,161,0.92,1.88,1501,1007,332,48,85,23,2242,997,6416,59.47,"7,165.08"
4/23/2026,157,496,1.25,1.77,1471,1026,252,50,58,17,2244,992,6416,59.03,"7,108.40"
4/22/2026,325,125,1.92,2.13,1605,923,354,50,78,19,2436,854,6415,59.55,"7,137.90"
4/21/2026,180,362,2.10,2.39,1515,978,304,49,70,19,2378,984,6416,59.23,"7,064.01"
4/20/2026,262,108,3.23,2.60,1638,920,451,46,89,16,2631,886,6415,62.99,"7,109.14"
4/17/2026,624,143,3.84,2.57,1597,947,316,48,57,16,2590,963,6407,62.75,"7,126.06"
4/16/2026,299,141,2.66,2.40,1433,1043,242,57,57,17,2225,1104,6403,55.75,"7,041.28"
4/15/2026,463,118,2.37,2.37,1406,1076,185,61,43,18,2236,1172,6398,54.22,"7,022.95"
4/14/2026,420,130,2.70,2.71,1328,1126,191,74,39,26,2135,1302,6396,53.21,"6,967.38"
4/13/2026,543,80,2.16,2.08,1238,1203,195,79,38,29,1982,1392,6393,50.31,"6,886.24"
4/10/2026,159,239,1.74,1.41,1141,1293,158,113,28,29,1721,1591,6390,45.39,"6,816.89"
4/9/2026,233,199,2.17,1.35,1165,1265,126,117,29,31,1880,1548,6392,46.65,"6,824.66"
4/8/2026,834,164,2.37,1.44,1105,1270,100,116,19,36,1734,1569,6393,43.91,"6,782.81"
4/7/2026,162,214,2.73,1.12,1008,1381,90,128,25,34,1360,1814,6394,31.87,"6,616.85"
4/6/2026,248,122,2.01,1.21,1063,1363,110,108,24,35,1426,1788,6396,30.99,"6,611.83"
4/2/2026,240,92,1.19,0.95,1016,1379,96,138,26,28,1362,1863,6394,27.47,"6,582.69"
4/1/2026,298,160,0.96,0.88,987,1400,71,162,21,30,1271,1942,6400,25.22,"6,575.32"
3/31/2026,885,83,1.00,0.74,915,1442,83,142,20,25,1120,2074,6399,23.37,"6,528.52"
3/30/2026,120,435,0.52,0.55,777,1657,67,278,12,25,819,2516,6398,19.52,"6,343.72"
3/27/2026,112,624,0.72,0.66,832,1610,90,226,23,22,880,2482,6401,19.24,"6,368.85"
3/26/2026,146,331,0.72,0.74,919,1442,102,226,25,26,1010,2223,6399,22.12,"6,477.16"
3/25/2026,320,113,0.79,0.67,996,1393,106,164,26,25,1211,2068,6401,24.53,"6,591.90"
3/24/2026,223,285,0.50,0.63,951,1474,105,195,28,28,1110,2236,6402,22.97,"6,556.37"
3/23/2026,235,85,0.58,0.66,947,1420,124,163,26,21,1111,2212,6404,20.99,"6,581.00"
3/20/2026,146,662,0.60,0.68,829,1572,88,260,22,29,950,2505,6395,16.74,"6,506.48"
3/19/2026,184,263,0.76,0.75,934,1453,104,200,19,30,1110,2285,6395,22.54,"6,606.49"
3/18/2026,110,486,0.57,0.72,927,1428,104,186,22,27,1099,2353,6395,22.87,"6,624.70"
3/17/2026,274,141,0.79,0.94,1029,1315,131,154,24,25,1239,2157,6393,26.75,"6,716.09"
3/16/2026,294,128,0.75,0.80,1000,1340,122,173,24,24,1205,2240,6394,25.09,"6,699.38"
3/13/2026,124,284,0.79,0.80,966,1385,131,173,24,25,1153,2379,6391,23.16,"6,632.19"
3/12/2026,152,635,0.74,0.78,1023,1329,112,208,25,25,1226,2289,6389,25.47,"6,672.62"
3/11/2026,223,156,0.92,1.01,1128,1199,117,173,33,21,1383,2056,6388,29.98,"6,775.80"
3/10/2026,244,173,1.11,1.09,1107,1194,129,164,31,22,1350,1978,6388,31.58,"6,781.48"
3/9/2026,363,159,0.84,1.17,1103,1176,137,167,33,21,1414,1938,6386,32.56,"6,795.99"
3/6/2026,141,388,0.82,0.93,1061,1186,173,118,43,20,1366,2017,6384,33.82,"6,740.02"
3/5/2026,213,407,0.81,1.00,1196,1125,141,126,34,24,1524,1822,6382,41.30,"6,380.71"
3/4/2026,381,79,1.10,1.13,1262,1104,154,134,32,27,1670,1662,6383,46.76,"6,869.50"
3/3/2026,137,446,1.06,1.09,1166,1165,137,163,32,29,1511,1771,6379,45.21,"6,816.63"
3/2/2026,355,176,1.64,1.22,1300,1127,192,168,38,30,1737,1641,6381,49.48,"6,881.62"
2/27/2026,201,483,1.04,1.22,1310,1150,136,220,30,33,1690,1690,6380,48.89,"6,878.88"
2/26/2026,414,174,1.24,1.09,1400,1102,145,207,27,31,1871,1611,6370,54.38,"6,908.86"
2/25/2026,404,141,1.16,0.92,1463,1147,132,254,30,36,1801,1646,6365,52.27,"6,946.13"
2/24/2026,383,97,1.12,0.83,1394,1202,139,289,31,41,1687,1713,6366,51.11,"6,890.07"
2/23/2026,142,590,0.87,0.79,1325,1260,112,361,28,49,1552,1808,6365,50.38,"6,837.75"
2/20/2026,189,236,1.53,1.17,1463,1175,106,320,22,42,1805,1698,6364,56.25,"6,909.51"
2/19/2026,288,145,0.96,0.93,1450,1145,86,258,24,36,1832,1690,6363,55.61,"6,861.89"
2/18/2026,319,107,0.73,0.83,1442,1172,133,235,25,37,1775,1713,6360,57.22,"6,881.31"
