,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
12/31/2020,138,188,0.97,1.58,2615,412,300,36,85,2,2359,937,5455,72.97,"3,756.07"
12/30/2020,274,54,1.45,1.70,2634,363,298,35,91,4,2391,855,5455,72.83,"3,732.04"
12/29/2020,94,275,1.42,1.71,2572,390,284,44,87,4,2315,939,5453,71.66,"3,727.04"
12/28/2020,289,376,2.01,1.85,2740,340,315,40,93,3,2588,748,5457,76.09,"3,735.36"
12/24/2020,90,21,2.19,2.06,2759,308,366,30,114,4,2963,697,5448,77.39,"3,703.06"
12/23/2020,404,68,2.42,2.18,2788,282,402,26,128,3,2989,654,5448,76.39,"3,690.01"
12/22/2020,331,109,1.97,1.67,2709,330,404,37,126,3,3019,767,5448,74.72,"3,687.26"
12/21/2020,189,74,2.07,1.67,2695,335,403,26,114,2,3073,725,5435,76.56,"3,694.92"
12/18/2020,303,330,1.74,1.66,2730,348,434,25,103,2,3204,693,5435,80.03,"3,709.41"
12/17/2020,390,86,1.96,2.20,2755,332,439,19,105,3,3352,622,5418,82.79,"3,722.48"
12/16/2020,204,119,1.95,2.11,2647,345,370,18,90,3,3242,688,5418,79.82,"3,701.17"
12/15/2020,349,85,1.42,2.17,2698,340,404,23,101,5,3309,648,5418,80.66,"3,694.62"
12/14/2020,284,260,1.36,2.04,2564,364,432,21,112,3,3141,693,5418,75.53,"3,647.49"
12/11/2020,167,161,1.57,1.60,2598,345,553,23,123,2,3180,620,5418,77.51,"3,663.46"
12/10/2020,309,50,2.45,1.76,2654,334,503,20,128,1,3215,581,5404,79.25,"3,668.10"
12/9/2020,165,341,2.26,1.72,2590,358,453,19,111,2,3146,631,5394,79.51,"3,672.82"
12/8/2020,294,85,3.62,2.41,2673,313,552,20,135,1,3253,508,5364,80.42,"3,702.25"
12/7/2020,286,141,3.25,2.65,2630,325,839,22,226,1,3202,530,5364,79.95,"3,691.96"
12/4/2020,573,48,1.62,2.74,2651,312,784,28,220,2,3215,504,5364,79.58,"3,699.12"
12/3/2020,301,102,1.29,2.50,2473,350,806,23,207,2,3043,584,5364,77.22,"3,666.72"
12/2/2020,238,92,1.30,2.33,2411,361,698,17,161,3,2970,598,5364,77.50,"3,669.01"
12/1/2020,245,123,1.82,2.35,2378,360,791,12,197,2,3012,606,5360,78.05,"3,662.45"
11/30/2020,270,638,2.32,2.79,2334,349,871,13,210,2,2931,601,5352,76.68,"3,621.63"
11/27/2020,203,17,5.78,4.96,2443,327,938,17,211,3,3063,549,5352,79.56,"3,638.35"
11/25/2020,241,52,5.38,3.83,2415,365,1034,24,229,4,2978,618,5340,79.24,"3,629.65"
11/24/2020,746,109,4.16,3.66,2397,395,865,25,176,6,2917,656,5340,79.60,"3,635.41"
11/23/2020,688,110,3.38,3.25,2242,403,606,28,121,7,2808,678,5340,78.39,"3,577.59"
11/20/2020,254,81,3.74,3.00,2062,426,343,31,63,6,2700,707,5332,76.60,"3,557.54"
11/19/2020,257,54,4.27,2.66,2054,451,354,33,68,6,2677,713,5321,77.74,"3,581.87"
11/18/2020,220,166,2.81,2.88,1991,497,405,36,59,6,2646,780,5297,75.63,"3,567.79"
11/17/2020,231,77,3.19,2.77,2050,488,446,47,57,7,2787,715,5297,78.31,"3,609.53"
11/16/2020,773,86,3.13,2.98,2038,510,457,52,51,7,2815,731,5297,78.58,"3,626.91"
11/13/2020,383,54,2.64,2.72,1779,565,244,66,28,6,2620,790,5297,74.43,"3,585.15"
11/12/2020,155,243,2.05,2.15,1546,626,158,71,22,6,2353,876,5288,69.45,"3,537.01"
11/11/2020,218,91,2.92,2.37,1720,595,254,69,25,6,2643,795,5281,73.42,"3,572.66"
11/10/2020,342,123,2.58,1.56,1756,630,273,88,26,9,2655,837,5281,71.72,"3,545.53"
11/9/2020,1458,456,2.90,1.44,1580,668,175,85,21,9,2480,898,5281,67.83,"3,550.50"
11/6/2020,188,240,2.82,0.93,1080,772,99,75,19,10,1895,1046,5276,52.43,"3,509.44"
11/5/2020,672,75,2.28,0.98,1165,728,91,57,18,7,2061,938,5276,69.78,"3,510.45"
11/4/2020,405,296,1.78,0.88,965,818,78,72,13,9,1621,1198,5248,48.22,"3,443.44"
11/3/2020,539,56,0.81,0.80,1043,841,89,55,12,9,1684,1242,5248,48.80,"3,369.02"
11/2/2020,325,89,0.51,0.65,861,929,54,81,10,11,1325,1540,5248,38.31,"3,310.24"
10/30/2020,96,379,0.28,0.56,788,997,76,77,15,8,1117,1732,5248,27.28,"3,269.96"
10/29/2020,284,106,0.37,0.63,879,905,104,60,17,7,1258,1533,5248,30.49,"3,310.11"
10/28/2020,62,983,0.44,0.59,819,949,96,54,16,6,1169,1655,5248,25.30,"3,271.03"
10/27/2020,133,216,0.80,0.91,1054,791,159,43,18,4,1516,1207,5236,39.57,"3,390.68"
10/26/2020,58,538,0.88,0.98,1119,766,163,43,20,4,1657,1089,5236,46.32,"3,400.97"
10/23/2020,159,61,1.41,1.39,1348,676,318,26,37,4,2066,837,5236,59.02,"3,465.39"
10/22/2020,416,84,1.29,1.46,1288,689,364,22,38,3,1995,875,5207,55.35,"3,453.49"
10/21/2020,134,233,0.96,1.45,1147,727,283,31,36,3,1762,964,5207,49.76,"3,435.56"
10/20/2020,166,145,1.11,1.92,1195,699,205,39,28,5,1869,956,5207,53.57,"3,443.12"
10/19/2020,149,204,1.13,1.85,1186,677,208,40,27,4,1792,973,5207,50.63,"3,426.92"
10/16/2020,143,114,1.37,2.54,1276,637,162,53,25,6,1977,852,5207,56.45,"3,483.81"
10/15/2020,171,98,1.70,2.60,1292,618,172,42,33,6,2039,857,5190,57.12,"3,483.34"
10/14/2020,127,123,2.22,2.77,1248,628,162,47,32,5,1888,875,5190,55.51,"3,488.67"
10/13/2020,187,150,3.30,2.88,1343,605,193,37,39,3,2038,837,5189,58.67,"3,511.93"
10/12/2020,180,104,3.01,3.00,1461,584,198,41,38,3,2237,797,5189,63.05,"3,534.22"
10/9/2020,259,70,4.43,3.50,1434,578,226,32,47,1,2141,785,5166,61.10,"3,477.13"
10/8/2020,358,53,3.81,3.63,1462,601,205,35,32,1,2116,838,5166,60.69,"3,446.83"
10/7/2020,362,31,3.40,2.87,1318,636,180,45,30,2,1809,990,5166,53.08,"3,419.45"
10/6/2020,141,174,2.54,1.46,1161,725,172,49,37,4,1449,1177,5166,46.23,"3,360.95"
10/5/2020,501,38,3.00,1.53,1184,683,167,57,33,3,1519,1125,5165,49.61,"3,408.63"
10/2/2020,203,115,2.78,1.10,1033,795,112,65,24,4,1138,1407,5165,41.77,"3,348.44"
10/1/2020,284,80,3.45,1.09,1016,802,74,92,25,6,1058,1513,5138,35.33,"3,380.80"
9/30/2020,157,100,2.41,1.02,946,843,70,97,21,8,891,1658,5138,29.91,"3,363.00"
9/29/2020,222,123,0.97,1.12,964,820,85,96,24,9,871,1692,5131,29.06,"3,335.47"
9/28/2020,455,57,0.93,1.15,1008,820,76,94,25,8,860,1705,5089,33.58,"3,351.60"
9/25/2020,259,39,0.48,1.26,911,919,76,94,22,7,725,2062,5089,23.29,"3,298.46"
9/24/2020,118,184,0.46,1.13,855,1011,63,116,15,8,607,2302,5089,17.85,"3,246.59"
9/23/2020,49,731,0.53,1.11,851,999,70,121,17,9,680,2332,5089,19.58,"3,236.92"
9/22/2020,149,99,1.35,1.84,1014,803,97,71,22,6,900,1849,5089,30.71,"3,315.57"
9/21/2020,52,242,1.48,1.53,1016,820,114,63,29,7,919,1886,5089,28.71,"3,281.06"
9/18/2020,311,232,3.00,1.58,1237,711,144,59,36,7,1289,1432,5089,43.53,"3,319.47"
9/17/2020,177,95,3.23,1.12,1253,715,143,69,28,7,1358,1384,5089,48.75,"3,357.01"
9/16/2020,338,93,2.46,1.13,1283,735,152,74,28,7,1389,1313,5079,51.95,"3,385.49"
9/15/2020,236,93,2.48,1.03,1223,767,123,95,32,11,1283,1400,5071,49.00,"3,401.20"
9/14/2020,656,59,1.58,0.93,1232,770,128,90,28,12,1302,1378,5069,49.08,"3,383.54"
9/11/2020,119,132,0.80,0.77,1117,859,84,121,25,14,1067,1665,5058,40.17,"3,340.97"
9/10/2020,137,226,0.48,0.78,1128,879,99,127,29,12,1106,1579,5058,41.75,"3,339.19"
9/9/2020,296,72,0.59,0.82,1210,922,114,104,30,16,1183,1432,5058,48.40,"3,398.96"
9/8/2020,149,368,0.51,0.76,1106,1049,85,141,19,19,1073,1570,5059,42.49,"3,331.84"
9/4/2020,124,236,0.56,0.87,1225,983,112,115,20,18,1229,1392,5056,54.55,"3,426.96"
9/3/2020,53,665,0.75,0.85,1259,964,129,115,29,15,1303,1310,5056,57.89,"3,455.06"
9/2/2020,256,151,1.31,1.14,1493,880,183,96,44,13,1670,1076,5054,67.35,"3,580.84"
9/1/2020,241,191,1.20,1.08,1419,905,197,87,52,10,1591,1110,5054,63.29,"3,526.65"
8/31/2020,179,274,1.30,1.01,1375,886,198,77,45,10,1548,1102,5054,62.35,"3,500.31"
8/28/2020,267,49,1.52,1.20,1515,849,251,65,53,10,1778,1037,5057,71.15,"3,508.01"
8/27/2020,175,186,0.98,1.08,1441,902,183,73,35,11,1770,1141,5052,66.95,"3,484.55"
8/26/2020,193,176,0.99,1.15,1420,891,188,56,41,7,1768,1103,5051,64.50,"3,478.73"
8/25/2020,152,59,0.97,1.14,1469,846,234,51,49,7,2000,1040,5051,68.00,"3,443.62"
8/24/2020,330,265,0.80,1.00,1538,859,215,61,48,10,1957,1085,5051,68.40,"3,431.28"
8/21/2020,88,267,0.93,1.20,1485,917,215,49,47,6,1779,1126,5040,60.56,"3,397.16"
8/20/2020,141,150,1.20,1.49,1592,822,203,53,43,5,1913,1005,5040,64.54,"3,385.51"
8/19/2020,145,146,1.36,1.50,1701,787,201,57,41,5,2020,968,5040,67.45,"3,374.85"
8/18/2020,111,186,1.37,1.73,1735,766,204,58,38,4,2096,929,5038,69.71,"3,389.78"
8/17/2020,330,128,1.23,2.03,2076,703,259,58,51,4,2304,869,5033,75.69,"3,381.99"
8/14/2020,162,133,1.48,2.15,2169,702,239,52,47,2,2322,908,5033,76.13,"3,372.85"
8/13/2020,204,108,1.74,1.94,2240,683,252,42,48,3,2398,897,5025,75.49,"3,373.43"
8/12/2020,162,153,1.61,1.87,2287,674,241,44,41,3,2481,922,5023,77.78,"3,380.35"
8/11/2020,181,324,2.01,2.06,2292,670,332,36,48,2,2474,904,5019,76.81,"3,333.69"
8/10/2020,526,119,3.11,2.22,2330,615,400,26,68,2,2545,830,5015,77.66,"3,360.47"
8/7/2020,380,130,3.10,2.05,2215,669,305,41,53,2,2334,904,5015,72.16,"3,351.28"
8/6/2020,251,204,2.15,1.86,2119,718,308,36,60,1,2106,943,5009,66.50,"3,349.16"
8/5/2020,437,104,2.19,1.87,2140,675,248,36,52,0,2141,918,5003,67.02,"3,327.77"
8/4/2020,373,75,2.12,1.76,2062,741,210,34,47,2,1908,1017,5001,59.29,"3,306.51"
8/3/2020,409,84,1.59,1.88,1997,780,172,52,40,2,1791,1172,4998,55.02,"3,294.61"
7/31/2020,144,282,1.40,1.76,1924,860,160,62,34,4,1642,1281,4998,51.46,"3,271.12"
7/30/2020,240,187,1.59,2.13,2005,794,159,58,40,5,1777,1143,4992,55.98,"3,246.22"
7/29/2020,471,144,1.57,2.30,2090,778,150,59,34,5,1961,1094,4992,61.16,"3,258.44"
7/28/2020,144,190,1.37,3.01,1950,820,155,54,35,6,1647,1332,4993,53.41,"3,218.44"
7/27/2020,340,152,2.29,3.43,2063,799,224,44,47,5,1783,1523,4990,55.20,"3,239.41"
7/24/2020,99,139,2.33,2.27,2054,795,150,72,37,7,1664,1812,4988,53.79,"3,215.63"
7/23/2020,181,163,2.91,2.55,2212,721,183,53,39,4,1886,1655,4976,59.59,"3,235.66"
