,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
12/31/2021,109,129,0.73,1.47,659,1442,92,145,19,13,1214,1940,6856,42.73,"4,766.18"
12/30/2021,346,53,0.94,1.27,669,1426,115,125,18,13,1199,1960,6853,40.42,"4,778.73"
12/29/2021,82,252,0.74,1.27,659,1476,84,233,16,20,1115,2002,6844,40.75,"4,793.06"
12/28/2021,57,352,1.43,1.20,659,1471,73,235,13,20,1116,2053,6845,40.34,"4,786.35"
12/27/2021,193,287,1.87,1.13,714,1424,80,199,16,17,1267,2025,6847,39.92,"4,791.19"
12/23/2021,258,52,2.90,1.12,677,1397,51,214,15,15,1247,2109,6839,34.14,"4,725.79"
12/22/2021,160,77,1.64,0.89,607,1455,59,222,12,17,1026,2258,6832,30.02,"4,696.56"
12/21/2021,502,53,1.87,0.95,590,1498,42,257,15,18,893,2387,6827,25.81,"4,649.23"
12/20/2021,67,163,1.05,1.03,477,1661,34,398,12,33,630,2751,6823,17.50,"4,568.02"
12/17/2021,613,207,0.84,1.19,524,1580,34,350,8,26,723,2569,6814,22.12,"4,620.64"
12/16/2021,92,372,0.52,0.78,499,1678,28,493,8,31,625,2620,6811,25.49,"4,668.67"
12/15/2021,449,125,0.50,0.93,555,1587,31,448,11,27,741,2508,6805,26.67,"4,709.85"
12/14/2021,79,374,0.42,0.68,489,1660,26,540,11,33,623,2629,6802,23.69,"4,634.09"
12/13/2021,123,529,1.02,0.66,540,1580,33,511,13,27,731,2534,6795,27.86,"4,668.97"
12/10/2021,109,228,1.84,0.70,618,1520,36,427,13,26,950,2384,6787,32.58,"4,712.02"
12/9/2021,63,395,1.06,0.60,614,1479,48,337,11,20,972,2345,6776,32.57,"4,667.45"
12/8/2021,293,60,1.54,0.71,721,1337,49,307,16,21,1418,2139,6769,38.47,"4,701.21"
12/7/2021,676,27,0.91,0.62,668,1439,46,422,14,26,1048,2277,6763,36.68,"4,686.75"
12/6/2021,449,153,0.46,0.41,516,1607,40,529,11,32,666,2520,6758,31.19,"4,591.67"
12/3/2021,58,819,0.32,0.32,455,1701,25,589,15,38,571,2107,6754,24.66,"4,538.43"
12/2/2021,342,123,0.33,0.35,569,1585,55,455,13,28,697,2542,6750,27.76,"4,577.10"
12/1/2021,59,621,0.29,0.28,483,1666,67,486,17,37,601,2812,6745,21.45,"4,513.04"
11/30/2021,143,575,0.37,0.33,588,1461,86,363,20,33,775,2504,6738,27.30,"4,567.00"
