,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
11/29/2021,202,399,0.35,0.37,686,1362,125,241,27,22,927,2251,6735,36.09,"4,655.27"
11/26/2021,60,710,0.32,0.41,707,1303,123,221,28,15,961,2175,6728,36.58,"4,594.62"
11/24/2021,215,44,0.37,0.56,879,1170,208,172,39,15,1269,1868,6724,49.90,"4,701.47"
11/23/2021,127,289,0.26,0.45,866,1248,183,231,29,21,1213,1936,6721,50.73,"4,690.70"
11/22/2021,128,641,0.29,0.48,907,1196,190,229,28,23,1296,1863,6730,50.79,"4,682.94"
11/19/2021,99,283,0.39,0.66,991,1101,222,161,49,15,1380,1722,6721,49.37,"4,697.96"
11/18/2021,99,571,0.52,0.78,1091,1030,213,168,47,15,1490,1603,6713,53.99,"4,704.54"
11/17/2021,96,303,0.90,0.97,1167,906,239,121,57,11,1609,1388,6703,57.28,"4,688.67"
11/16/2021,182,259,0.76,1.24,1242,838,268,100,53,8,1814,1256,6713,61.92,"4,700.90"
11/15/2021,163,237,0.81,1.32,1266,757,264,82,47,8,1852,1169,6725,63.88,"4,682.80"
11/12/2021,243,126,1.11,1.79,1314,732,273,75,49,9,1928,1076,6721,64.36,"4,682.85"
11/11/2021,242,106,1.14,1.72,1268,758,237,75,45,8,1867,1127,6717,63.92,"4,649.27"
11/10/2021,106,498,1.02,1.85,1154,773,224,79,35,9,1798,1175,6709,63.98,"4,646.71"
11/9/2021,186,194,1.97,2.06,1300,701,312,61,49,7,2053,983,6699,68.56,"4,685.25"
11/8/2021,344,90,2.08,2.08,1316,682,335,45,56,7,2202,896,6684,70.01,"4,701.70"
11/5/2021,370,206,2.73,2.06,1288,699,301,53,59,8,2239,947,6683,69.55,"4,697.53"
11/4/2021,217,206,2.64,1.80,1214,688,256,52,58,7,2098,912,6676,65.73,"4,680.06"
11/3/2021,475,111,3.63,1.87,1229,671,283,41,62,7,2164,883,6661,68.97,"4,660.57"
11/2/2021,213,166,2.16,1.73,1120,711,209,40,52,7,1900,960,6657,65.24,"4,630.65"
11/1/2021,723,43,2.07,1.86,1121,689,220,35,47,6,1936,939,6651,67.21,"4,613.67"
10/29/2021,178,158,1.47,1.36,954,795,144,59,31,8,1527,1153,6650,58.00,"4,605.38"
10/28/2021,412,73,1.20,1.37,961,798,139,57,27,10,1541,1140,6641,59.94,"4,596.42"
10/27/2021,141,333,0.88,1.24,867,868,120,70,24,8,1325,1291,6630,54.45,"4,551.68"
10/26/2021,170,176,1.28,1.61,963,787,119,76,24,10,1513,1189,6625,61.92,"4,574.79"
10/25/2021,292,74,1.60,1.83,989,764,91,86,21,10,1590,1104,6617,64.46,"4,566.48"
10/22/2021,115,289,1.24,1.60,912,811,102,92,19,9,1443,1237,6614,60.82,"4,544.90"
10/21/2021,157,118,1.69,1.86,954,733,91,91,18,9,1487,1165,6611,62.66,"4,549.78"
10/20/2021,208,78,1.99,2.15,955,748,147,76,21,11,1444,1198,6601,62.47,"4,536.19"
10/19/2021,229,68,2.11,1.80,918,773,184,77,24,13,1326,1256,6591,58.79,"4,519.63"
10/18/2021,151,141,2.13,1.61,928,810,184,76,26,8,1238,1338,6590,57.03,"4,486.46"
10/15/2021,138,116,2.15,1.23,941,780,124,94,14,9,1262,1326,6586,57.13,"4,471.37"
10/14/2021,207,66,2.03,1.33,969,775,107,88,11,10,1288,1308,6586,58.62,"4,438.26"
10/13/2021,277,85,2.30,1.20,907,810,98,88,11,8,1147,1380,6574,51.64,"4,363.80"
10/12/2021,242,69,1.55,0.98,856,880,128,101,14,12,1087,1468,6570,49.59,"4,350.65"
10/11/2021,140,132,1.22,0.70,801,956,109,134,14,16,992,1557,6565,47.03,"4,361.19"
10/8/2021,119,133,0.78,0.88,805,957,119,143,18,19,1055,1508,6567,47.70,"4,391.34"
10/7/2021,298,48,0.97,0.86,832,918,101,125,18,18,1173,1402,6561,49.82,"4,399.76"
10/6/2021,99,199,0.73,0.89,756,994,100,136,14,15,1129,1556,6558,43.47,"4,363.55"
10/5/2021,129,131,0.69,1.05,798,969,95,142,16,15,1170,1463,6553,43.38,"4,345.72"
10/4/2021,109,455,0.49,1.09,768,995,91,164,17,17,1152,1509,6549,43.12,"4,300.46"
10/1/2021,285,112,0.96,1.07,848,928,91,123,12,14,1319,1296,6545,44.62,"4,357.04"
9/30/2021,176,193,0.77,1.04,774,974,91,110,15,14,1122,1401,6543,37.91,"4,307.59"
9/29/2021,98,257,1.06,1.10,793,998,91,109,16,13,1183,1408,6530,43.36,"4,359.46"
9/28/2021,73,505,1.51,1.31,842,940,117,87,20,12,1254,1302,6524,42.49,"4,352.63"
9/27/2021,489,100,3.18,1.49,988,859,133,69,27,10,1525,1061,6519,49.46,"4,443.11"
9/24/2021,105,166,1.24,1.25,892,955,147,59,34,11,1333,1201,6513,45.86,"4,455.48"
9/23/2021,380,57,1.44,1.28,898,922,144,46,35,13,1369,1150,6507,46.52,"4,448.98"
9/22/2021,282,55,1.16,1.15,792,991,129,60,31,12,1196,1366,6502,38.73,"4,395.64"
9/21/2021,149,64,1.11,0.89,716,1062,133,49,32,10,1082,1560,6495,31.59,"4,354.19"
9/20/2021,23,415,0.81,0.86,681,1084,175,37,33,12,1016,1613,6493,29.19,"4,357.73"
9/17/2021,329,218,1.25,1.07,850,937,280,29,56,7,1330,1216,6486,39.81,"4,432.99"
9/16/2021,192,88,1.12,1.14,841,985,233,38,43,9,1316,1230,6488,43.41,"4,473.75"
9/15/2021,278,87,1.14,1.18,799,999,208,36,38,6,1311,1257,6488,44.56,"4,480.70"
9/14/2021,68,294,0.70,1.20,731,1055,163,44,34,6,1243,1364,6478,39.55,"4,443.05"
9/13/2021,236,192,0.91,1.47,828,979,147,52,36,5,1412,1158,6478,45.43,"4,468.73"
9/10/2021,151,162,0.87,2.02,848,996,140,49,34,4,1437,1142,6476,39.27,"4,458.58"
9/9/2021,177,65,1.15,2.10,858,953,154,59,35,5,1561,1044,6471,44.09,"4,493.28"
9/8/2021,67,285,1.22,2.10,814,998,144,72,30,5,1544,1111,6468,45.04,"4,514.07"
9/7/2021,202,208,2.23,3.13,935,916,180,65,33,6,1739,985,6464,48.78,"4,520.03"
9/3/2021,123,107,2.83,4.63,985,893,182,56,36,6,1852,890,6467,54.94,"4,535.43"
9/2/2021,268,62,5.12,5.16,997,863,184,60,33,5,2112,835,6464,56.85,"4,536.95"
9/1/2021,210,50,4.12,2.85,913,915,200,60,40,5,1988,894,6464,52.44,"4,524.09"
8/31/2021,280,59,3.82,2.64,859,947,172,80,34,8,1896,969,6469,49.98,"4,522.68"
8/30/2021,165,91,4.41,1.89,805,1007,160,93,31,11,1755,1046,6464,49.28,"4,528.79"
8/27/2021,643,44,7.03,1.47,799,997,170,91,39,13,1820,1082,6465,52.48,"4,509.37"
8/26/2021,116,99,5.21,1.00,670,1110,117,120,32,14,1354,1382,6462,40.27,"4,470.00"
8/25/2021,187,71,2.20,0.98,723,1079,122,113,34,14,1514,1335,6464,44.93,"4,496.19"
8/24/2021,389,35,2.04,0.92,661,1096,142,75,35,16,1387,1357,6464,42.10,"4,486.23"
8/23/2021,605,27,1.09,0.80,593,1186,104,127,25,16,1099,1530,6460,38.32,"4,479.53"
8/20/2021,245,64,0.43,0.62,500,1329,67,174,19,23,829,1813,6460,33.37,"4,441.67"
8/19/2021,74,484,0.28,0.60,472,1417,56,223,16,25,685,2007,6457,28.88,"4,405.80"
8/18/2021,145,105,0.39,0.86,519,1299,59,209,15,22,771,1880,6455,31.91,"4,400.27"
8/17/2021,104,397,0.38,0.79,536,1281,71,171,19,22,811,1866,6456,36.99,"4,448.08"
8/16/2021,63,420,0.55,0.87,631,1185,143,134,21,22,970,1730,6455,42.70,"4,479.71"
8/13/2021,85,303,0.91,1.08,721,1062,141,130,28,26,1080,1606,6455,44.93,"4,468.00"
8/12/2021,155,192,1.28,1.19,822,969,129,107,31,24,1205,1555,6452,45.49,"4,460.83"
8/11/2021,143,152,1.78,1.30,822,950,126,111,28,21,1235,1549,6446,46.44,"4,447.70"
8/10/2021,256,211,1.46,1.50,811,949,95,135,25,23,1144,1580,6432,43.19,"4,436.75"
8/9/2021,259,127,1.33,1.32,824,954,75,144,19,22,1060,1585,6432,40.59,"4,432.35"
8/6/2021,216,124,1.28,1.25,806,959,63,148,18,20,1033,1600,6432,42.86,"4,436.52"
8/5/2021,413,109,1.11,1.10,798,989,85,125,21,18,980,1627,6427,39.86,"4,429.10"
8/4/2021,156,318,0.91,0.88,715,1085,59,154,16,18,792,1806,6424,34.30,"4,402.66"
8/3/2021,164,229,1.56,1.17,751,1032,50,146,13,18,846,1737,6417,39.13,"4,423.15"
8/2/2021,157,86,1.29,1.54,770,996,44,159,10,17,784,1738,6407,36.41,"4,387.16"
7/30/2021,107,156,1.22,1.16,739,1014,41,185,10,20,763,1733,6407,37.55,"4,395.26"
7/29/2021,229,106,1.09,1.05,788,976,46,173,8,16,824,1659,6407,39.27,"4,419.15"
7/28/2021,312,46,0.85,0.93,764,972,45,161,13,16,719,1718,6377,33.57,"4,400.64"
7/27/2021,72,284,0.89,0.65,685,1095,38,252,10,22,578,1944,6377,32.45,"4,401.46"
7/26/2021,197,162,1.81,0.64,763,1006,55,206,17,17,697,1837,6377,33.55,"4,422.30"
7/23/2021,81,223,1.11,0.63,780,994,55,192,18,13,688,1895,6375,33.37,"4,411.79"
7/22/2021,97,173,1.02,0.78,787,916,57,130,17,10,683,1922,6375,29.83,"4,367.48"
7/21/2021,335,34,1.00,0.78,860,815,59,88,15,7,771,1741,6369,33.79,"4,358.69"
7/20/2021,429,39,0.50,0.58,747,966,53,125,15,11,615,2008,6365,29.19,"4,323.06"
7/19/2021,135,497,0.23,0.40,614,1144,43,147,15,9,479,2448,6362,20.71,"4,258.49"
7/16/2021,68,298,0.30,0.43,675,1045,42,161,15,11,557,2174,6362,29.16,"4,327.16"
7/15/2021,78,182,0.55,0.51,755,931,48,140,12,14,619,1972,6354,31.90,"4,360.03"
7/14/2021,52,495,0.58,0.58,801,876,56,111,16,13,695,1872,6353,34.57,"4,374.30"
7/13/2021,85,330,0.70,0.72,921,745,56,97,19,11,965,1619,6341,37.63,"4,369.21"
7/12/2021,141,107,0.69,0.85,1054,653,73,74,17,11,1112,1360,6334,45.56,"4,384.63"
7/9/2021,272,25,0.61,0.88,1032,626,81,73,19,10,1136,1377,6334,43.91,"4,369.55"
7/8/2021,107,167,0.48,0.91,927,747,77,105,18,11,985,1747,6324,35.00,"4,320.82"
7/7/2021,85,354,0.57,1.08,957,755,78,111,18,11,1096,1593,6324,41.22,"4,358.13"
7/6/2021,103,371,0.74,1.35,1073,648,100,71,20,9,1249,1364,6324,41.54,"4,343.54"
7/2/2021,80,141,1.10,1.73,1161,586,123,45,27,5,1401,1070,6330,48.12,"4,352.34"
7/1/2021,161,92,1.33,1.28,1239,527,144,40,27,4,1546,916,6330,48.14,"4,319.94"
6/30/2021,196,142,1.72,1.02,1237,544,125,38,30,3,1630,958,6330,43.80,"4,297.50"
6/29/2021,134,159,2.20,1.01,1268,532,156,39,24,4,1728,956,6312,42.75,"4,291.80"
6/28/2021,116,88,2.62,0.94,1333,497,187,26,28,2,1784,864,6312,44.90,"4,290.61"
6/25/2021,253,168,2.62,0.98,1388,505,170,33,26,3,1865,791,6297,50.59,"4,280.70"
6/24/2021,332,41,1.25,0.99,1399,504,212,26,33,4,1839,808,6297,48.77,"4,266.49"
6/23/2021,265,43,0.67,0.86,1306,578,238,27,41,5,1703,945,6297,44.37,"4,241.84"
6/22/2021,160,89,0.54,0.80,1238,700,194,34,29,4,1639,1055,6281,45.22,"4,246.44"
6/21/2021,123,92,0.43,0.89,1214,712,202,40,35,4,1685,1079,6281,45.51,"4,224.79"
6/18/2021,101,521,0.49,1.14,1132,734,198,40,36,5,1596,1307,6277,37.07,"4,166.45"
6/17/2021,149,452,0.80,1.61,1275,707,275,31,55,3,1783,1022,6274,46.58,"4,221.86"
6/16/2021,141,105,1.22,2.05,1327,698,259,32,47,6,1879,893,6277,54.95,"4,223.70"
6/15/2021,88,237,1.33,2.23,1309,729,291,24,54,3,1948,924,6263,58.69,"4,246.59"
6/14/2021,253,164,2.38,3.00,1425,661,341,24,73,4,2071,793,6263,58.67,"4,255.15"
6/11/2021,173,52,3.84,3.23,1421,686,463,21,106,4,2100,778,6263,61.94,"4,247.44"
6/10/2021,106,67,3.94,3.50,1383,708,409,19,85,4,2084,823,6264,58.55,"4,239.18"
6/9/2021,194,92,3.19,4.01,1405,681,310,24,70,4,2104,792,6264,59.54,"4,219.55"
6/8/2021,318,63,3.42,3.36,1444,674,325,28,82,3,2159,737,6261,62.01,"4,227.26"
6/7/2021,561,78,3.58,2.95,1381,728,215,41,49,3,2083,793,6255,58.43,"4,226.52"
6/4/2021,211,53,2.76,2.70,1292,812,191,43,41,6,1928,900,6254,57.08,"4,229.89"
6/3/2021,160,167,3.15,2.78,1232,842,166,54,38,5,1887,962,6254,56.68,"4,192.85"
6/2/2021,321,98,5.21,2.72,1301,836,178,56,45,7,1944,896,6255,57.84,"4,208.12"
6/1/2021,428,74,3.30,2.79,1244,904,144,80,26,8,1947,907,6255,58.90,"4,202.04"
5/28/2021,140,65,2.35,2.67,1171,932,140,90,24,8,1795,990,6255,53.67,"4,204.11"
5/27/2021,340,37,2.65,3.03,1163,946,117,94,20,7,1792,1011,6249,53.21,"4,200.88"
5/26/2021,387,36,2.44,2.05,1054,1027,95,137,19,9,1590,1149,6249,51.74,"4,195.99"
5/25/2021,117,216,1.44,1.25,936,1109,91,162,16,10,1320,1328,6242,46.45,"4,188.24"
5/24/2021,159,132,2.32,1.33,1035,1125,118,162,14,8,1516,1236,6242,52.77,"4,197.05"
5/21/2021,217,40,3.06,0.98,1033,1170,122,107,17,7,1525,1365,6236,50.74,"4,155.86"
5/20/2021,291,55,3.48,0.98,1038,1200,132,87,14,8,1431,1324,6236,49.71,"4,159.12"
5/19/2021,91,164,1.78,0.78,948,1269,128,103,17,7,1210,1451,6230,47.26,"4,115.68"
5/18/2021,317,72,1.15,0.83,1025,1281,180,67,28,5,1400,1403,6230,50.69,"4,127.83"
5/17/2021,300,66,0.95,0.66,1063,1325,139,102,22,6,1354,1440,6223,53.79,"4,163.29"
5/14/2021,377,38,0.52,0.62,1012,1356,94,147,15,10,1300,1493,6212,53.54,"4,173.85"
5/13/2021,189,375,0.45,0.51,840,1493,70,251,14,14,956,1755,6215,46.18,"4,112.50"
5/12/2021,92,562,0.42,0.51,748,1503,71,219,12,13,884,1797,6195,38.17,"4,063.04"
5/11/2021,198,177,0.60,0.67,970,1407,112,155,22,8,1214,1545,6195,51.65,"4,152.10"
5/10/2021,89,666,0.46,0.68,1101,1419,109,172,22,12,1358,1555,6195,56.22,"4,188.43"
5/7/2021,278,89,0.76,1.09,1272,1320,127,140,23,7,1593,1383,6174,59.65,"4,232.60"
5/6/2021,166,466,0.57,1.14,1233,1356,88,169,19,7,1391,1529,6174,56.95,"4,201.62"
5/5/2021,204,158,0.66,1.44,1276,1318,93,110,25,6,1387,1426,6164,56.91,"4,167.59"
5/4/2021,100,441,0.77,1.74,1328,1301,82,132,21,5,1375,1455,6164,56.83,"4,164.66"
5/3/2021,284,197,1.20,1.64,1546,1207,84,97,24,5,1543,1288,6149,60.40,"4,192.66"
4/30/2021,99,222,1.83,1.39,1491,1216,91,87,18,4,1465,1412,6149,55.61,"4,181.17"
4/29/2021,127,210,3.14,1.40,1630,1166,120,66,24,3,1698,1359,6141,60.18,"4,211.47"
4/28/2021,258,55,4.81,1.32,1625,1149,160,44,27,2,1777,1319,6127,61.36,"4,183.18"
4/27/2021,159,88,6.05,1.25,1558,1178,186,49,33,2,1688,1377,6127,59.19,"4,186.72"
4/26/2021,472,35,2.13,1.20,1549,1180,129,57,30,4,1733,1354,6127,58.90,"4,187.62"
4/23/2021,303,32,1.11,0.77,1414,1252,111,91,19,4,1491,1502,6112,55.75,"4,180.17"
4/22/2021,169,73,0.75,0.64,1226,1293,109,104,21,6,1277,1644,6111,50.15,"4,134.98"
4/21/2021,434,26,0.60,0.67,1313,1311,78,164,17,14,1401,1636,6098,52.68,"4,173.42"
4/20/2021,69,513,0.41,0.48,1121,1407,32,331,9,26,1102,1863,6093,45.88,"4,134.94"
4/19/2021,87,312,0.63,0.61,1330,1345,44,284,10,22,1311,1701,6093,53.66,"4,163.26"
4/16/2021,98,213,0.51,0.73,1458,1292,58,205,12,15,1488,1659,6081,57.33,"4,185.47"
4/15/2021,139,313,0.54,0.94,1461,1249,43,271,11,14,1632,1606,6072,57.31,"4,170.42"
4/14/2021,214,114,0.76,1.32,1478,1243,49,203,10,12,1549,1634,6060,55.98,"4,124.66"
4/13/2021,143,137,0.56,1.35,1455,1267,44,258,13,12,1467,1762,6053,53.29,"4,141.59"
4/12/2021,77,531,0.60,1.06,1530,1281,63,235,15,12,1523,1760,6053,55.14,"4,127.99"
4/9/2021,104,155,1.13,1.47,1623,1188,74,170,20,9,1629,1706,6032,54.96,"4,128.80"
4/8/2021,226,68,1.75,1.72,1720,1149,94,109,19,6,1741,1741,6035,56.27,"4,097.17"
4/7/2021,86,249,2.26,1.15,1727,1203,89,94,22,5,1648,1841,6035,54.59,"4,079.95"
4/6/2021,176,113,3.31,0.81,1884,1131,180,57,34,7,1941,1758,6035,57.64,"4,073.94"
4/5/2021,230,140,1.66,0.80,1905,1126,187,68,32,6,1959,1784,6036,57.15,"4,077.91"
4/1/2021,354,44,1.77,0.88,1861,1134,179,61,30,5,1898,1866,6025,56.22,"4,019.87"
3/31/2021,505,53,1.70,0.64,1709,1215,93,114,13,10,1553,2095,6007,49.37,"3,972.89"
3/30/2021,269,113,0.70,0.57,1685,1354,85,214,15,11,1442,2193,6007,51.21,"3,958.55"
3/29/2021,74,515,0.33,0.49,1560,1366,69,312,13,12,1334,2312,6007,48.79,"3,971.09"
3/26/2021,257,97,0.43,0.67,1827,1231,119,153,27,10,1689,2072,5991,54.62,"3,974.54"
3/25/2021,367,86,0.51,0.67,1720,1236,92,151,18,10,1532,2232,5958,50.48,"3,909.52"
3/24/2021,61,656,0.29,0.77,1579,1292,60,299,13,16,1304,2420,5958,43.89,"3,889.14"
3/23/2021,38,1052,0.47,1.06,1743,1109,98,143,22,10,1734,2176,5950,46.92,"3,910.52"
3/22/2021,131,98,0.80,2.15,2129,911,138,178,30,12,2429,1739,5936,57.83,"3,940.59"
3/19/2021,437,134,1.04,2.26,2229,924,198,267,41,12,2615,1714,5936,58.78,"3,913.10"
3/18/2021,72,633,0.94,2.19,2193,986,228,257,42,13,2652,1785,5905,58.95,"3,915.46"
3/17/2021,258,80,2.80,1.59,2438,827,246,232,43,11,3083,1533,5905,64.43,"3,974.12"
3/16/2021,109,317,2.98,1.25,2371,888,217,287,35,17,3006,1596,5876,64.29,"3,962.71"
3/15/2021,437,96,6.90,1.28,2564,766,322,233,53,13,3227,1483,5876,66.02,"3,968.94"
3/12/2021,246,73,6.37,1.34,2521,845,337,233,48,12,3098,1556,5876,63.90,"3,943.34"
3/11/2021,661,46,5.50,1.21,2476,827,275,252,42,13,3046,1586,5861,63.07,"3,939.34"
3/10/2021,394,88,1.15,0.78,2311,1029,237,390,42,19,2597,1774,5848,61.67,"3,898.81"
3/9/2021,752,58,0.77,0.79,2213,1045,195,370,29,15,2380,1849,5839,57.85,"3,875.44"
3/8/2021,312,106,0.46,0.53,2108,1261,281,423,46,22,2103,2054,5833,55.39,"3,821.35"
3/5/2021,387,158,0.57,0.51,2065,1177,221,323,42,24,2034,2018,5784,53.51,"3,841.94"
3/4/2021,83,1272,0.45,0.53,1936,1202,213,293,40,15,1835,2166,5784,46.45,"3,768.47"
3/3/2021,185,646,0.51,0.67,2220,950,348,161,64,7,2238,1848,5784,53.75,"3,819.72"
3/2/2021,168,298,0.83,0.76,2270,785,381,103,74,10,2359,1645,5784,56.18,"3,870.29"
3/1/2021,548,44,0.62,0.88,2391,721,543,61,105,10,2529,1530,5770,58.80,"3,901.82"
2/26/2021,168,310,0.45,0.79,2164,840,324,101,61,9,2137,1803,5742,51.60,"3,811.15"
2/25/2021,75,950,0.62,0.86,2303,753,389,106,66,11,2320,1733,5742,56.39,"3,829.34"
2/24/2021,414,54,0.87,1.22,2615,542,395,74,75,6,2827,1321,5733,68.02,"3,925.43"
2/23/2021,106,754,0.70,1.20,2439,620,305,88,55,5,2636,1472,5722,67.22,"3,881.37"
2/22/2021,368,458,1.31,2.07,2542,401,352,59,87,1,2868,1123,5722,67.22,"3,876.50"
2/19/2021,444,66,1.76,2.71,2577,311,387,21,102,1,2926,950,5718,67.95,"3,906.71"
2/18/2021,144,356,1.41,2.71,2514,343,326,34,84,1,2696,1059,5700,65.78,"3,913.97"
2/17/2021,206,177,1.95,3.65,2723,259,370,30,107,1,2908,764,5700,70.17,"3,931.33"
2/16/2021,503,210,2.47,4.18,2764,218,461,26,151,1,2979,642,5700,71.12,"3,932.59"
2/12/2021,288,94,3.78,4.96,2765,196,414,26,137,1,2935,614,5697,72.61,"3,934.83"
2/11/2021,254,150,4.34,3.88,2774,192,455,22,149,0,2902,629,5685,72.73,"3,916.38"
2/10/2021,327,177,5.43,4.07,3057,165,452,15,153,0,3006,519,5669,74.54,"3,909.88"
2/9/2021,410,91,7.50,2.15,3088,149,508,14,161,0,3022,444,5669,74.35,"3,911.23"
2/8/2021,828,45,7.60,2.00,3114,150,490,15,158,2,3001,451,5648,74.71,"3,915.59"
2/5/2021,466,63,6.79,1.68,2997,198,389,17,127,1,2699,614,5648,69.10,"3,886.83"
2/4/2021,517,93,3.48,1.62,2984,210,415,13,133,1,2577,681,5619,65.96,"3,871.74"
2/3/2021,449,64,3.06,1.46,2930,229,431,21,138,1,2320,796,5607,59.91,"3,830.17"
2/2/2021,483,96,1.03,1.37,2908,281,435,24,119,1,2298,916,5591,58.04,"3,826.31"
2/1/2021,530,44,0.87,1.38,2817,305,386,26,127,2,2107,1068,5591,50.81,"3,773.86"
1/29/2021,185,325,0.74,1.13,2660,358,324,32,102,3,1860,1483,5574,41.14,"3,714.24"
1/28/2021,295,105,0.93,1.44,2801,296,376,24,120,1,2059,1140,5574,52.82,"3,787.38"
1/27/2021,245,1120,0.88,1.42,2744,313,361,43,114,2,2014,1267,5565,46.18,"3,750.77"
1/26/2021,300,198,2.16,2.80,3001,203,373,32,114,3,2410,715,5555,63.05,"3,849.62"
1/25/2021,419,206,2.87,3.05,3043,188,368,24,107,3,2555,584,5536,67.56,"3,855.36"
1/22/2021,315,55,2.22,3.02,3041,195,399,18,102,2,2666,550,5536,69.70,"3,841.47"
1/21/2021,264,175,2.68,3.17,3007,217,382,20,102,2,2618,597,5525,71.08,"3,853.07"
1/20/2021,291,101,2.87,4.08,3048,213,406,17,112,2,2775,532,5524,73.73,"3,851.85"
1/19/2021,490,82,3.57,4.48,3019,214,393,19,117,4,2783,527,5521,71.28,"3,798.91"
1/15/2021,175,278,3.23,3.40,2922,237,370,15,105,2,2636,622,5523,70.40,"3,768.25"
1/14/2021,615,49,4.12,3.61,3005,208,428,14,112,1,2863,507,5510,72.53,"3,795.54"
1/13/2021,285,136,3.86,3.33,2913,243,394,18,100,2,2658,602,5504,71.58,"3,809.84"
1/12/2021,569,52,5.72,2.86,2948,253,409,21,94,2,2820,569,5497,72.44,"3,801.19"
1/11/2021,298,86,5.62,2.17,2845,271,308,27,83,4,2674,632,5486,69.55,"3,799.61"
1/8/2021,289,176,3.53,2.13,2864,279,331,24,92,2,2718,599,5481,73.82,"3,824.68"
1/7/2021,439,37,3.28,2.35,2930,279,313,24,85,2,2813,591,5473,74.53,"3,803.79"
1/6/2021,1135,126,3.00,2.18,2783,349,275,26,72,3,2633,751,5460,74.62,"3,748.14"
1/5/2021,480,45,1.41,1.65,2607,361,232,33,67,3,2193,817,5451,69.83,"3,726.86"
1/4/2021,334,375,0.89,1.31,2520,403,248,31,70,3,2103,984,5451,63.64,"3,700.65"
12/31/2020,138,188,0.97,1.58,2615,412,300,36,85,2,2359,937,5455,72.97,"3,756.07"
12/30/2020,274,54,1.45,1.70,2634,363,298,35,91,4,2391,855,5455,72.83,"3,732.04"
12/29/2020,94,275,1.42,1.71,2572,390,284,44,87,4,2315,939,5453,71.66,"3,727.04"
12/28/2020,289,376,2.01,2.01,2740,340,315,40,93,3,2588,748,5457,76.09,"3,735.36"
12/24/2020,90,21,2.19,2.53,2759,308,366,30,114,4,2963,697,5448,77.39,"3,703.06"
12/23/2020,404,68,2.42,2.49,2788,282,402,26,128,3,2989,654,5448,76.39,"3,690.01"
12/22/2020,331,109,1.97,2.20,2709,330,404,37,126,3,3019,767,5448,74.72,"3,687.26"
12/21/2020,189,74,2.07,2.07,2695,335,403,26,114,2,3073,725,5435,76.56,"3,694.92"
12/18/2020,303,330,2.01,2.01,2730,348,434,25,103,2,3204,693,5435,80.03,"3,709.41"
