,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
,,,,,,,,,,,,,,,
12/30/2016,54,94,1.22,1.14,1254,425,56,21,7,4,1125,663,4964,64.45,"2,238.83"
12/29/2016,93,53,1.08,1.23,1297,418,58,30,8,6,1394,620,4961,67.43,"2,249.26"
12/28/2016,44,128,1.00,1.01,1299,426,74,36,13,7,1518,635,4960,64.94,"2,249.92"
12/27/2016,113,51,1.37,1.10,1411,395,74,36,13,8,1931,578,4960,72.11,"2,268.88"
12/23/2016,130,29,1.25,0.94,1390,404,57,39,9,7,1963,595,4963,70.87,"2,263.79"
12/22/2016,71,156,1.08,0.89,1331,428,56,43,7,9,2039,645,4968,70.57,"2,260.96"
12/21/2016,84,79,1.38,1.11,1401,411,52,37,9,8,2186,571,4967,73.07,"2,265.18"
12/20/2016,125,68,1.01,1.15,1463,401,74,37,7,7,2288,557,4966,73.65,"2,270.76"
12/19/2016,66,49,0.91,1.23,1396,410,73,34,6,8,2264,594,4968,72.42,"2,262.53"
12/16/2016,155,114,0.76,1.40,1365,404,73,34,5,8,2226,621,4971,70.42,"2,258.07"
12/15/2016,136,100,0.77,1.42,1381,401,76,38,6,12,2203,627,4966,68.05,"2,262.03"
12/14/2016,42,187,0.94,1.18,1316,406,60,41,6,8,2159,636,4964,66.93,"2,253.28"
12/13/2016,99,96,1.28,1.38,1445,367,98,34,10,7,2367,568,4964,74.46,"2,271.72"
12/12/2016,83,178,1.56,1.33,1431,367,131,35,14,6,2346,575,4964,74.47,"2,256.96"
12/9/2016,151,104,2.53,1.22,1582,340,222,19,23,5,2458,522,4965,75.50,"2,259.53"
12/8/2016,228,77,2.66,1.21,1536,345,329,17,29,3,2437,517,4961,75.33,"2,246.19"
12/7/2016,164,111,1.46,1.12,1396,354,513,16,39,4,2333,553,4962,72.24,"2,241.35"
12/6/2016,176,43,1.47,1.12,1316,350,454,14,34,3,2232,553,4960,68.63,"2,212.23"
12/5/2016,256,51,1.15,1.11,1194,386,529,11,42,3,2108,591,4961,66.65,"2,204.71"
12/2/2016,96,64,0.67,0.99,1044,417,434,18,43,3,1947,679,4961,62.09,"2,191.95"
12/1/2016,95,269,0.64,1.01,1055,422,430,28,39,5,1928,722,4960,60.23,"2,191.08"
11/30/2016,254,171,0.85,1.22,1016,378,341,34,34,6,2022,619,4961,65.13,"2,198.81"
11/29/2016,77,120,0.79,1.28,1031,380,281,34,29,4,2045,594,4960,63.46,"2,204.66"
11/28/2016,90,295,1.07,1.52,1050,353,296,38,34,4,2092,577,4960,64.88,"2,201.72"
11/25/2016,39,14,1.91,2.27,1201,325,363,34,32,4,2241,540,4960,68.17,"2,213.35"
11/23/2016,118,79,1.80,2.34,1171,336,306,43,30,5,2199,555,4960,66.90,"2,204.72"
11/22/2016,163,111,1.80,2.97,1113,357,255,51,23,4,2167,570,4961,67.60,"2,202.94"
11/21/2016,183,57,2.06,2.95,1030,355,196,55,22,7,2112,594,4961,64.41,"2,198.18"
11/18/2016,123,66,2.11,3.06,975,365,186,60,18,7,2014,640,4962,58.91,"2,181.90"
11/17/2016,152,98,2.51,2.93,932,380,169,62,16,9,1926,654,4958,57.67,"2,187.12"
11/16/2016,145,94,2.75,2.40,881,361,156,59,19,7,1858,670,4958,57.52,"2,176.94"
11/15/2016,199,74,3.82,2.08,867,351,181,53,21,7,1864,661,4957,57.57,"2,180.38"
11/14/2016,279,94,3.52,1.89,842,382,194,55,19,7,1793,728,4953,53.97,"2,164.20"
11/11/2016,389,103,3.76,1.70,747,400,130,62,11,10,1645,766,4953,50.73,"2,164.45"
11/10/2016,475,176,3.26,1.44,580,417,91,76,5,12,1341,821,4949,48.87,"2,167.48"
11/9/2016,917,144,2.15,1.17,453,418,46,83,1,15,1003,859,4949,46.69,"2,163.26"
11/8/2016,106,99,0.87,0.68,298,533,15,116,0,13,513,1067,4950,38.17,"2,139.53"
11/7/2016,292,57,0.80,0.64,279,551,12,140,0,14,475,1092,4952,35.37,"2,131.52"
11/4/2016,162,123,0.52,0.51,246,629,12,162,1,16,336,1280,4949,23.21,"2,085.18"
11/3/2016,94,308,0.41,0.48,246,645,13,184,3,15,310,1282,4948,22.29,"2,088.66"
11/2/2016,94,268,0.44,0.56,267,604,12,155,3,13,323,1215,4947,21.08,"2,097.94"
11/1/2016,92,163,0.48,0.66,328,528,10,96,3,10,380,1054,4945,25.16,"2,111.72"
10/31/2016,80,146,0.47,0.75,357,497,15,101,3,8,419,962,4945,31.27,"2,126.15"
10/28/2016,77,174,0.49,0.75,364,482,11,97,3,10,426,960,4945,29.49,"2,126.41"
10/27/2016,85,220,0.58,0.77,387,470,17,78,3,8,433,903,4945,30.32,"2,133.04"
10/26/2016,74,139,0.79,0.82,430,420,17,65,4,9,475,754,4943,34.63,"2,139.43"
10/25/2016,65,136,1.03,0.80,464,399,29,57,4,10,518,722,4942,37.84,"2,143.16"
10/24/2016,76,97,1.46,0.71,523,363,36,44,3,5,576,652,4942,43.22,"2,151.30"
10/21/2016,74,49,1.37,0.82,518,353,36,52,3,3,576,667,4942,39.33,"2,141.16"
10/20/2016,94,66,1.09,0.74,533,338,28,49,4,4,594,653,4942,39.18,"2,141.34"
10/19/2016,115,63,0.86,0.68,512,339,31,44,4,5,585,635,4942,40.94,"2,144.29"
10/18/2016,110,46,0.61,0.74,489,346,34,38,6,4,523,686,4941,36.09,"2,139.60"
10/17/2016,49,99,0.34,0.62,468,373,28,36,6,4,463,750,4942,30.09,"2,126.50"
10/14/2016,41,100,0.51,0.68,487,354,39,36,7,4,492,728,4942,30.50,"2,132.98"
10/13/2016,49,115,0.51,0.82,523,334,41,33,8,4,542,679,4940,30.51,"2,132.55"
10/12/2016,42,120,0.55,0.82,575,321,51,30,10,4,600,627,4937,36.48,"2,139.18"
10/11/2016,34,205,0.87,1.12,599,316,56,28,15,6,651,589,4934,35.37,"2,136.73"
10/10/2016,130,39,1.01,1.39,703,288,50,29,15,6,791,479,4934,46.28,"2,163.66"
10/7/2016,50,116,0.88,1.19,675,312,47,25,12,5,717,551,4929,40.17,"2,153.74"
10/6/2016,64,103,1.28,1.27,765,299,32,31,9,5,785,511,4927,47.24,"2,160.77"
10/5/2016,167,48,1.17,1.48,826,278,46,22,11,5,824,481,4921,47.73,"2,159.73"
10/4/2016,54,154,1.42,1.57,772,293,42,24,10,5,742,513,4919,41.16,"2,150.49"
10/3/2016,83,56,1.89,1.81,804,271,67,16,17,4,771,459,4916,45.53,"2,161.20"
9/30/2016,140,37,1.57,1.85,815,264,80,18,16,3,791,453,4917,50.07,"2,168.27"
9/29/2016,75,147,1.26,1.70,775,264,67,21,14,3,702,526,4916,41.96,"2,151.13"
9/28/2016,263,38,1.87,2.08,934,253,77,19,17,2,781,444,4916,53.12,"2,171.37"
9/27/2016,101,72,1.75,1.75,964,278,87,22,17,2,701,528,4912,43.27,"2,159.93"
9/26/2016,51,108,1.74,1.29,924,269,81,19,15,3,676,521,4912,42.40,"2,146.10"
9/23/2016,68,77,2.26,1.55,1010,251,95,15,16,3,794,479,4912,49.55,"2,164.69"
9/22/2016,158,47,2.32,0.87,1040,248,92,13,17,3,856,455,4907,56.12,"2,177.18"
9/21/2016,226,41,2.31,0.89,942,272,68,23,12,4,818,534,4904,45.54,"2,163.12"
9/20/2016,107,78,1.75,0.81,857,299,64,25,13,4,720,646,4902,32.80,"2,139.76"
9/19/2016,76,38,0.98,0.89,875,288,66,23,15,4,785,638,4904,34.57,"2,139.12"
9/16/2016,144,102,1.15,0.91,871,292,57,29,14,4,752,660,4903,31.20,"2,139.16"
9/15/2016,132,38,0.44,0.89,862,273,60,22,13,1,767,629,4900,34.38,"2,147.31"
9/14/2016,93,60,0.48,0.78,782,280,49,22,11,0,690,729,4900,27.15,"2,125.77"
9/13/2016,41,259,0.52,0.75,777,274,43,26,10,0,696,729,4900,29.58,"2,127.02"
9/12/2016,148,28,0.84,0.96,920,242,61,15,14,0,883,573,4901,43.18,"2,159.18"
9/9/2016,30,634,0.78,0.87,825,288,51,26,14,1,785,683,4904,36.56,"2,127.81"
9/8/2016,174,41,2.67,1.70,1059,250,85,14,18,1,1078,484,4904,60.07,"2,181.30"
9/7/2016,146,65,1.70,1.13,1021,268,70,21,12,1,1045,499,4902,62.85,"2,186.15"
